"Year","CO2.concentrations"
1850,284.001634023458
1851,287.12811313142
1852,287.436887914256
1853,287.745662697091
1854,288.054437479927
1855,285.56557722684
1856,284.363838987192
1857,283.162100747545
1858,284.89758817961
1859,286.633075611675
1860,286.8135711321
1861,286.994066652526
1862,287.174562172951
1863,285.353318757156
1864,286.654158160582
1865,286.120202866444
1866,285.586247572306
1867,285.052292278169
1868,288.76419810736
1869,287.960168026164
1870,287.156137944967
1871,286.989124208999
1872,286.822110473032
1873,286.655096737064
1874,291.558197465839
1875,290.814841998807
1876,290.071486531774
1877,289.328131064742
1878,288.808997106417
1879,288.289863148092
1880,287.770729189767
1881,289.335131057852
1882,290.899532925936
1883,292.463934794021
1884,289.494506014475
1885,288.805134857227
1886,288.115763699979
1887,294.341787467286
1888,293.342087703282
1889,292.342387939277
1890,290.917539404626
1891,293.044734332431
1892,295.171929260236
1893,295.087946758864
1894,293.487686174808
1895,294.023031139795
1896,294.558376104782
1897,295.093721069768
1898,295.629066034755
1899,296.164410999742
1900,294.220721600033
1901,294.915679215004
1902,295.610636829975
1903,295.800997323311
1904,295.991357816648
1905,299.023596617836
1906,298.477540755496
1907,299.486405638546
1908,300.495270521595
1909,301.504135404644
1910,297.869106791623
1911,298.363446613478
1912,299.8305864181
1913,301.297726222721
1914,300.700088656092
1915,301.307619683782
1916,301.915150711471
1917,302.883686015748
1918,303.852221320024
1919,304.613207348201
1920,301.875860376956
1921,302.81393402115
1922,303.752007665344
1923,304.690081309538
1924,304.766308525769
1925,304.842535742001
1926,305.509458885193
1927,306.176382028385
1928,306.843305171578
1929,305.62304678448
1930,305.681982739378
1931,305.740918694277
1932,308.255562234367
1933,307.111613692216
1934,308.353085198892
1935,306.319798387692
1936,308.301642715495
1937,307.407693174587
1938,311.067672962998
1939,310.834230924261
1940,310.37600086998
1941,309.770465651637
1942,312.371908387749
1943,312.366774291412
1944,312.361640195074
1945,310.938398505038
1946,312.263410746509
1947,311.614631161879
1948,311.570949997612
1949,309.693993606641
1950,312.831031129258
1951,312.507746923776
1952,312.184462718295
1953,312.457924962862
1954,312.731387207428
1955,314.713961343906
1956,315.342073915026
1957,315.344264203028
1958,315.298
1959,315.975833333333
1960,316.905833333333
1961,317.6375
1962,318.449166666667
1963,318.985
1964,319.6125
1965,320.029166666667
1966,321.3625
1967,322.174166666667
1968,323.045833333333
1969,324.618333333333
1970,325.675833333333
1971,326.313333333333
1972,327.454166666667
1973,329.674166666667
1974,330.246666666667
1975,331.156666666667
1976,332.158333333333
1977,333.905
1978,335.510833333333
1979,336.855
1980,338.695833333333
1981,339.946666666667
1982,341.144166666667
1983,342.790833333333
1984,344.495833333333
1985,345.885833333333
1986,347.126666666667
1987,348.85
1988,351.238333333333
1989,352.699166666667
1990,353.986666666667
1991,355.388333333333
1992,356.170833333333
1993,356.840833333333
1994,358.709166666667
1995,360.7225
1996,362.506666666667
1997,363.643333333333
1998,366.5175
1999,368.21
2000,369.38
2001,370.931666666667
2002,373.0175
2003,375.565
2004,377.304166666667
2005,379.56
2006,381.768333333333
2007,383.5575
2008,385.415833333333
2009,387.338333333333
2010,389.908333333333
2011,391.688333333333
2012,393.943333333333
2013,396.643333333333
2014,398.700833333333
2015,400.86
2016,404.205833333333
2017,406.51
2018,408.520833333333
2019,411.418333333333
2020,413.9425
2021,416.1075
